p_id,exp,,,p1,p2,p3,p4,p5,p6,P7,P8,P9,P10,P11,P12,P13,,,,,,,,,,,,,,,
765,75,,,75,147,44,61,19,54,83,2,125,13,44,69,99,,,,,,,,,,,,,,,
765,149,,,149,35,149,158,113,95,23,111,166,138,58,196,117,Correlation Matrix,,,,,,,,,,,,,,
765,153,,,153,136,32,113,64,64,24,27,154,38,162,45,15,,Correlations,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13
765,83,,,83,153,199,67,28,93,116,46,35,19,32,12,68,,Column 1,1,,,,,,,,,,,,
765,3,,,3,113,159,86,44,153,100,7,149,74,3,145,71,,Column 2,0.2416749375,1,,,,,,,,,,,
765,114,,,114,120,29,42,184,65,20,192,104,32,85,35,138,,Column 3,-0.0829418907,0.389415048,1,,,,,,,,,,
765,7,,,7,70,72,10,153,90,101,123,66,148,73,182,148,,Column 4,0.3956001157,-0.119693363,-0.1888043429,1,,,,,,,,,
765,112,,,112,111,166,4,81,132,64,83,89,96,46,193,93,,Column 5,0.1950435095,-0.0074936503,-0.2118018959,0.0428414861,1,,,,,,,,
765,113,,,113,19,7,118,121,27,119,40,20,79,75,106,188,,Column 6,0.4041714501,0.4419460752,0.6296178478,0.1574159027,0.065543725,1,,,,,,,
765,89,,,89,98,102,25,188,110,140,132,148,190,175,191,126,,Column 7,-0.1808162847,-0.2924710941,0.3010130563,0.1005125234,0.2898225321,0.1372600251,1,,,,,,
765,91,,,91,189,126,96,85,160,10,179,171,46,138,2,21,,Column 8,-0.0786614022,-0.0624784591,0.1501732728,-0.1771388947,0.299543419,0.003209243,0.0632350654,1,,,,,
765,175,,,175,110,92,172,188,116,134,40,171,86,142,146,59,,Column 9,-0.0755651284,0.1738098002,0.3110464063,0.1528465434,0.1292401148,0.1903795824,-0.1049230551,0.3048755776,1,,,,
765,99,,,99,102,18,64,97,48,34,122,112,84,65,130,148,,Column 10,-0.1048955602,0.0797729687,0.2854773802,-0.0572083288,0.4153168025,0.1461652695,0.3192650939,0.2194645324,0.2226220754,1,,,
765,7,,,7,20,139,63,63,27,145,154,189,92,68,31,168,,Column 11,0.4307917875,0.2245710285,-0.0726212956,0.2176177895,0.5512917829,0.2467057127,0.3321268285,0.4178982426,0.216322356,0.3726704926,1,,
765,101,,,101,144,178,1,59,82,38,9,119,194,50,192,189,,Column 12,0.0341014847,-0.2390021289,0.332782712,-0.0356989765,0.2022198464,0.2930449441,0.1307091921,0.0320025951,0.3083634849,0.5561812717,-0.043833076,1,
765,182,,,182,131,85,104,18,96,81,128,8,79,122,8,179,,Column 13,0.071437317,-0.1711238189,0.066310243,-0.0408861526,-0.1046623543,-0.069348222,-0.037614915,0.219878264,0.0379245544,0.3501602042,-0.200740852,0.4029122127,1
765,38,,,38,50,66,193,74,38,140,152,137,183,142,168,125,,,,,,,,,,,,,,,
765,128,,,128,114,147,76,47,138,9,137,167,19,98,181,136,,,,,,,,,,,,,,,
765,191,,,191,88,48,194,52,176,5,8,100,64,69,115,200,,,,,,,,,,,,,,,
765,65,,,65,125,62,152,137,56,71,70,130,105,101,11,45,,sum,10.5459205871,,,,,,,,,,,,
765,142,,,142,182,7,95,181,85,63,12,48,118,149,23,8,,avg,0.1352041101,,,,,,,,,,,,
765,128,,,128,58,128,14,152,117,158,185,99,111,186,96,52,,,,,,,,,,,,,,,
765,137,,,137,10,104,170,114,136,184,20,34,21,96,110,23,,,,,,,,,,,,,,,
765,9,,,9,6,9,8,5,10,5,7,8,4,6,1,1,,,,,,,,,,,,,,,
2378,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378,70,,,,3,6,,Correlations,Column 1,Column 2,,Correlations,Column 1,Column 2,,,,,,,,,,,,,,,,,
2378,111,,,,5,2,,Column 1,1,,,Column 1,1,,,,,,,,,,,,,,,,,,
2378,19,,,,52,11,,Column 2,0.3237715911,1,,Column 2,0.3237715911,1,,,,,,,,,,,,,,,,,
2378,98,,,,15,4,,,,,,,,,,,,,,,,,,,,,,,,,
2378,189,,,,100,5,,,,,,,,,,,,,,,,,,,,,,,,,
2378,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378,20,,,,52,4,,Correlations,Column 1,Column 2,,,,,,,,,,,,,,,,,,,,,
2378,144,,,,15,5,,Column 1,1,,,,,,,,,,,,,,,,,,,,,,
2378,131,,,,100,11,,Column 2,0.7272112688,1,,,,,,,,,,,,,,,,,,,,,
2378,50,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,
2378,114,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
2378,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6060,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6060,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6060,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6060,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6060,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6060,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6060,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6060,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6060,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6060,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6060,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6060,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6060,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6060,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6060,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6060,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6060,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6060,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6060,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6060,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6060,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6060,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6060,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6060,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13258,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13258,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13258,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13258,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13258,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13258,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13258,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13258,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13258,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13258,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13258,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13258,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13258,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13258,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13258,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13258,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13258,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13258,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13258,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13258,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13258,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13258,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13258,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13258,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22162,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22162,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22162,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22162,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22162,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22162,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22162,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22162,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22162,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22162,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22162,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22162,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22162,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22162,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22162,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22162,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22162,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22162,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22162,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22162,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22162,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22162,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22162,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22162,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
